Valle 1;Valle 2;Valle 3;Valle 4;Valle 5
18.36;35.11;52.2;70.64;89.15
18.38;35.14;52.06;70.67;89.01
18.33;35.18;52.18;70.79;89.05
18.31;35.16;52.16;70.76;89.03
18.33;35.23;52.23;70.67;88.93
18.41;35.26;52.13;70.74;89.18
18.43;35.11;52.16;70.72;88.98
18.33;35.23;52.18;70.62;89.1
18.46;35.14;52.18;70.62;89.05
18.41;35.21;52.13;70.69;89.35
18.41;35.21;52.25;70.69;89.13
18.46;35.18;52.18;70.62;88.96
18.31;35.21;52.2;70.64;89.08
18.46;35.18;52.23;70.62;89.01
18.38;35.23;52.23;70.67;88.93
18.43;35.23;52.28;70.67;89.15
18.36;35.23;52.25;70.72;89.2
18.38;35.26;52.23;70.64;89.1
18.43;35.23;52.23;70.67;89.1
18.38;35.18;52.23;70.67;89.05
18.46;35.14;52.3;70.79;89.18
18.38;35.18;52.18;70.69;89.1
18.46;35.18;52.18;70.62;89.23
18.46;35.18;52.35;70.76;89.01
18.43;35.18;52.28;70.72;89.15
18.43;35.16;52.23;70.64;89.2
18.43;35.16;52.33;70.59;89.03
18.36;35.21;52.2;70.64;89.08
18.41;35.21;52.3;70.69;89.08
18.38;35.18;52.25;70.67;89.1
18.43;35.23;52.28;70.72;89.15
18.48;35.23;52.35;70.76;89.15
18.41;35.23;52.25;70.69;89.01
18.46;35.14;52.2;70.62;89.05
18.46;35.18;52.18;70.62;89.05
18.43;35.23;52.28;70.72;89.05
18.33;35.21;52.18;70.74;89.08
18.51;35.21;52.2;70.74;89.18
18.51;35.23;52.23;70.67;89.05
18.41;35.21;52.2;70.69;89.13
18.46;35.28;52.28;70.72;89.2
18.43;35.18;52.2;70.72;89.15
18.36;35.21;52.2;70.64;89.25
18.38;35.28;52.23;70.72;89.15
18.46;35.21;52.3;70.79;89.13
18.43;35.28;52.28;70.72;89.05
18.43;35.28;52.2;70.72;89.05
18.41;35.23;52.25;70.69;89.08
18.43;35.18;52.2;70.64;89.15
18.48;35.23;52.33;70.76;89.27
18.46;35.21;52.3;70.69;89.13
18.38;35.28;52.28;70.72;89.15
18.46;35.21;52.3;70.79;89.23
18.46;35.26;52.25;70.69;89.13
18.33;35.26;52.18;70.62;89.18
18.43;35.26;52.28;70.72;89.15
18.46;35.26;52.18;70.74;89.18
18.41;35.21;52.3;70.74;89.08
18.38;35.28;52.23;70.67;89.1
18.48;35.21;52.38;70.64;89.08
18.46;35.18;52.35;70.79;89.01
18.48;35.16;52.25;70.76;89.08
18.43;35.16;52.33;70.76;89.15
18.51;35.21;52.25;70.69;89.25
18.43;35.16;52.38;70.81;89.15
18.46;35.23;52.18;70.69;89.18
18.36;35.26;52.2;70.69;89.13
18.43;35.16;52.33;70.72;89.15
18.43;35.16;52.16;70.81;89.03
18.31;35.23;52.16;70.76;89.03
18.38;35.06;52.06;70.54;88.98
18.29;35.09;52.18;70.52;88.96
18.36;35.09;52.13;70.57;88.91
18.41;35.09;52.03;70.47;88.91
18.33;35.16;52.16;70.59;88.98
18.29;35.18;52.18;70.62;89.15
18.43;35.16;52.11;70.59;88.93
18.38;35.11;52.28;70.54;88.81
18.33;35.14;52.2;70.62;89.05
18.43;35.11;52.11;70.72;88.98
18.33;35.18;52.23;70.57;89.05
18.29;35.09;52.08;70.69;89.13
18.29;35.14;52.18;70.69;89.13
18.43;35.23;52.16;70.67;88.98
18.33;35.14;52.13;70.5;89.01
18.38;35.11;52.18;70.72;89.03
18.31;35.16;52.2;70.69;88.93
18.36;35.21;52.16;70.59;89.03
18.38;35.06;52.11;70.72;88.93
18.41;35.16;52.25;70.64;89.08
18.48;35.11;52.2;70.59;88.86
18.38;35.14;52.23;70.62;88.93
18.29;35.14;52.13;70.57;89.18
18.38;35.11;52.16;70.72;89.03
18.46;35.14;52.13;70.57;88.83
18.36;35.16;52.25;70.69;88.86
18.31;35.21;52.03;70.59;89.2
18.31;35.16;52.25;70.64;89.03
18.46;35.14;52.23;70.67;89.05
